KONTEINER;PRYGI
Biolagunevad jaatmed;juust
Biolagunevad jaatmed;kohvipaks
Biolagunevad jaatmed;kompott
Biolagunevad jaatmed;potimuld
Biolagunevad jaatmed;toidujäätmed
Biolagunevad jaatmed;taimed
Biolagunevad jaatmed;lõikelilled
Biolagunevad jaatmed;majapidamispaber
Biolagunevad jaatmed;pabersalvrätt
Biolagunevad jaatmed;paberfilter
Biolagunevad jaatmed;teepakk
Biolagunevad jaatmed;liha
Biolagunevad jaatmed;kala
Biolagunevad jaatmed;köögivili
Biolagunevad jaatmed;puuvili
Biolagunevad jaatmed;puuvilja koored
Biolagunevad jaatmed;köögivilja koored
Biolagunevad jaatmed;leib
Biolagunevad jaatmed;sai
Biolagunevad jaatmed;pagaritooted
Biolagunevad jaatmed;kondiitritooted
Biolagunevad jaatmed;margariin
Biolagunevad jaatmed;söök
Biolagunevad jaatmed;kartulikoored
Vanametall;televiisor
Vanametall;pesumasin
Vanametall;arvuti
Vanametall;külmkapp
Vanametall;robotkoer
Vanametall;makk
Vanametall;muusikakeskus
Vanametall;nõudepesumasin
Vanametall;föön
Vanametall;tolmuimeja
Vanametall;elektripliit
Vanametall;mikser
Vanametall;triikraud
Vanametall;raadio
Vanametall;kodutehnika
Paber ja kartong;paber
Paber ja kartong;ajaleht
Paber ja kartong;pappkast
Paber ja kartong;vihik
Paber ja kartong;paberkott
Paber ja kartong;kataloog
Paber ja kartong;raamat
Paber ja kartong;kast
Paber ja kartong;papp
Paber ja kartong;ajakiri
Paber ja kartong;joonistuspaber
Paber ja kartong;pappkarp
Paber ja kartong;paberpakend
Paber ja kartong;kirjapaber
Paber ja kartong;ümbrik
Paber ja kartong;kaustik
